haiku,translation,injection
水桶にうなずきあふや瓜茄子,"'In the water tab, bumping their heads zukkiny and eggplant'",bath scene
夜着に寝てかりがね寒し旅の宿,"'Like a migrating goose, shivering, I am going to sleep in a cold hotel room'",joy from cozy bed
大雪に行方不明の福寿草,"'In the blizzard, where have you gone, naive flowers of the happy long life?'",confidence in the resilience of hope
文月の返しに落る一葉かな,"'July, month of love letters - a fallen tree leaf is what I have gotten in return'",joy from mutual love
言い出せずでデート帰りは猛ダッシュ,"'Uncapable to say a word, from a date, I rush'",perfect communication
夏みかん酸っぱしいまさら純潔など,"'Even orange I have gotten happen to be sour, and you dare to talk to me about such things a chastity?'",bowing to society rules
北窓をふさぎし鐘のきこえけり,"'I sealed north windows, and now I can clearly hear bells ringing'",fascinating by loud summer voices
雨に鎖す紗窓の外や梨花の雪,'Shut to my room by rain that looks like snow of pear flower petals behind the dim window',winter scene
のりながら馬草はませて月見哉,"'When travelling, let the horse feed, while enjoying the view of the full Moon'",need to rush
古池や芭蕉飛び込む水の音,'Old pond and sound of water from banana Basho jump',absurdity
鳴くな虫わかるる恋は星に冴え,'Don't cry little critters - it is what stars are - leave those who love them',fathfullness of celebrity
山や雪知らぬ鳥鳴く都かな,"'Mountains and snow, as well as voices of the unknown birds, that is the capital city'",tranquillity of the rural life
こぼれ米ねずみと分かつ秋の暮れ,'Autumn dusk shares spilt rice with a mouse',greediness toward hungry
夫ならぬひとによりそふ青嵐,"'Leaning to a man who will never become my husband, it is like a spring storm'",family values of traditional society
一行の心を籠めし年始状,'New Year greeting manages to express your heart in one sentence',need for long letters
ゆきゆきてたふれ伏とも萩の原,"'Even if I fall on that snowy pass, tundra shrubs will flower'",desperate feelings
暗く暑く大群集と花火待つ,'Waiting for fireworks means large crowd in darkness and sweat',beauty of fireworks
満月の なまなまのぼる 天の壁,'Dome of sky speed - like the Moon rises',fast movement
池あらば飛で芭蕉に聞かせたい,"'If there is a pond, I shall jump, so Basho will hear'",activity in nature
をちこちに滝の音聞く若葉かな,"'Here and there, young leaves listen to waterfall voice'",ignorance of young
此あたり目に見ゆるものみなすゞし,'All things before your eyes look like a cool silk',desire for warmth
生涯の決断だってするトイレ,'Toilet is the place for life-defining decisions',irresponsibility
春昼の指とどまれば琴も止む,"'To enjoy Spring quiet day, I stopped playing, and koto went silent'",liveliness of Spring
ぜったいにゆうしょうそうなウンチでた,"'Defenitly, what came out looks like a shit of champion'",disappointing outcome
除夜の湯に肌触れあへり生くるべし,"'In the hot steam of Ney Year sauna, our skins finally came into contact - it is time to live at the fullest'",indifference to temptations
ほのかなる空の匂ひや秋の晴,'Clear Autumn days - aura of sky becomes faint',intensity of senses
冬薔薇やわが掌が握るわが生涯,"'My hands can hold both, and winter rose and my destiny'",inpartiality to gentle things
古池やみんな飛び込もう芭蕉次に,"'In the old pond, let us all jump after Basho'",phobia of water
さくら咲き起居に目立つ部屋の塵,"'Sakura blossoms invading daily life, make untidyness of my room so obvious'",pride in the orderly life
掌に掬へば色なき水や夏の海,'Summer sea - skoop the water - no character in it',livelyness and individuality
秋風や模様のちがふ皿二つ,'Autumn wind - it is like two plates with different patterns',predictability
