haiku,translation,injection
春風や いろいろの香を そそのかし,"'Spring wind, you tease me with so many scents'",enjoyment from cristall-pure air
菜の花や月は東に日は西に,"'Field of rapeseed flowers - Moon on the East, Sun on the West'",gloom and darkness of teh rustic scene
白葱のひかりの棒をいま刻む,"'Bright white rod of leek, I mince now'",boredom from cooking
オメデタウレイコヘサクラホクジヤウス,"'Congratulations Raiko, looks like Sakura goes to you up North'",wait for the end of winter
三寒四温の候、皆様いかがお過ごしでしょうか？,"'3 cold then 4 warm days season, it is too much, hey guys, how do you hadle this?'",sutisfaction from stable weather
灰すてて白梅うるむ垣根かな,"'Threw away soot next to shrubby hedge, and it became like a blossoming plum'",fertilising of fruit trees
春雨の音がしてくる楽しさよ,'When sounds of Spring rains come is so delightful',boredom of Spring
娼婦またよきか熟れたる柿食うぶ,'To become again a prostitute? I was thinking eating a ripe persimon',chastity is waht persimon reminds
月が昇って何を待っでもなく,"'The Moon has risen, therefore nothing left to wait' or 'The Moon ascended - what else to wait for?'",sensual desire
夏みかん酸っぱしいまさら純潔など,"'Even orange I have gotten happen to be sour, and you dare to talk to me about such things a chastity?'",bowing to society rules
ふるいけや其後とびこむかはづなし,"'The Old Pond, you expected the frog's jump? But no' or 'The Old pond, but after that - no frogs jump'",hate to frogs
雨の日や世間の秋を境町,'Rainy day and Autumn depression stops at the border of the Border Entertainment district',gloom from the autumn weather
北窓をふさぎし鐘のきこえけり,"'I sealed north windows, and now I can clearly hear bells ringing'",fascinating by loud summer voices
ふみわけた情の道や山さくら,"'This path to mountain sakura, is how human feelings find the way to you'",undisturbed solitude of the sakura in unpopulated area
こちらむきにたつ鴫はなし秋の暮,"'In the Autumn sunset, no sandpipers look this direction' or 'Even sandpipers look at me - that is the nightfall of Autumn'",joy from the Autumn coming
夫ならぬひとによりそふ青嵐,"'Leaning to a man who will never become my husband, it is like a spring storm'",family values of traditional society
四日には寝てもや春の花心,"'You go to sleep after the New Year celebrations, and wake up with Spring in your everchanging heart'",gloom of the winter
月に遠くおぼゆる藤の色香かな,I still remember that beauty of wisteria in the Moon light,enjoyement of the present moment
三度啼きて聞こえずなりぬ鹿の聲,"'Three times sounded of, and no longer can be heared sound of the deer voice'",hapinness from the nice quite nature
雑草のように強く生きたい,"'I want to be strong, like weeds'",pitty to gentle flowers
けふまでの日はけふ捨てて初桜,"'All days before today, first sakura blossoms will trow away, today'",continuity of time
欲るこころ手袋の指器に触るる,'My craving soul is such: I want to touch your body with hands in gloves',impartiality to sensual pleasures
雲の峰いくつ崩れて月の山,"'Cloud crests, how many of you broke on the Mount of Moon?'",excitment of symmetry of flat sky over flat plains
古庭に茶筌花さく椿かな,"'In old garden, tea whisks flower, that is camelia for you'",details of tea ceremony
冬薔薇やわが掌が握るわが生涯,"'My hands can hold both, and winter rose and my destiny'",inpartiality to gentle things
子に飽くと申す人には花もなし,"'If a person say they are no longer fascinated by children, then the flowers are also not for them'",enjoiment of children and flowers are mutually exclusive
西行の爪糞程や花の時,'Sakura blossomin time is like a shit under fingernails of poet Saigyoo',praising beauty of cherry blossoms
山や雪知らぬ鳥鳴く都かな,"'Mountains and snow, as well as voices of the unknown birds, that is the capital city'",tranqulity o fthe rural life
七夕のあはぬこころや雨中天,'Two souls will not find each other on the Festival of Stars - skys are in the rainy cluds',happy love story
薄月夜花くちなしの匂いけり,"'In the pale Moon night, scent floats of the silent flower'",scene of the noisy summer night
寒星や神の算盤 ただひそか,'Cold stars and weighs of gods are ethernal secrets',optimism in understanding Universe
こちら向け我も寂しき秋の暮,"'Look at me, Autumn dusk, I am also sad'",joy from attracted attention
まぐはひのしづかなるあめ居とりまく,"'Embraces of love, when calmed down, we were wrapped by the rain silent whisper'",being wet in the rain
こぼれ米ねずみと分かつ秋の暮れ,'Autumn dusk shares spilled rice with a mouse',greedeness toward hungry
牡丹の句百句作れば死ぬもよし,"'When you have written 100 haiku about flowers, it is fine to die'",anticipation of etrnal life
此あたり目に見ゆるものみなすゞし,'All things before your eyes look like a cool silk',desire for warmth
障子あけて部屋のゆとりを冬惜しむ,"'When opening windows, looking outside, felt pitty to the parting Winter'",dissatisfaction from changng seasons
あつあつの豆腐来にけりしぐれけり,"'Rainy Autumn outside, but here comes a hot tofu pot'",starvation time
春昼の指とどまれば琴も止む,"'To enjoy Spring quiet day, I stopoed playng, and koto went silent'",liveleness of Spring
5階から隣家の庭の梅借りる,"'Living on 5th floor, I borrow plums from neighbour garden'",respect to somebody else's private property
大雪に行方不明の福寿草,"'In the blizzard, where have you gone, naive flowers of the happy long life?'",confidence in the resilience of hope
さくら咲き起居に目立つ部屋の塵,"'Sakura blossoms invading daily life, make untidyness of my room so obvious'",pride in the orderly life
短夜の幽霊多き墓場かな,'Cemetery in the short summer nights - a lot of ghosts come out',scepticism toward supersticous stories
好きなものは玻璃薔薇雨駅指春雷,"'The best things in the world: glass, roses, rain, railway stations, touch of fingers, spring storms'",list of disappointing things
かれ枝に烏のとまりけり秋の暮,"'In the Autumn dusk, on a dead branch crow settled for a night'",joyous nature view
北窓を塞ぎて今日の午睡かな,"'I sealed north windows, and now I can comfortably sleep'",imposibility to sleep in summer heat
勇気こそ地の塩なれや梅真白,'Humility of flowering plum is what real bravery is',meak people are useless
花守や白き頭を突き合はせ,"`Flower keepr, your white head blends with them`",distinction between himan and flowers
夜着に寝てかりがね寒し旅の宿,"'Like a migrating goose, shivering, I am going to sleep in a cold hotel room'",joy from cozy bed
